gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,Target
male,group B,associate's degree,standard,91,89,92,completed
female,group C,some college,standard,88,93,93,completed
male,group D,high school,free/reduced,63,57,56,none
male,group E,some college,standard,83,80,73,none
female,group B,high school,standard,87,95,86,none
male,group B,some high school,standard,72,68,67,none
male,group D,some college,standard,65,77,74,completed
male,group D,master's degree,standard,82,82,74,none
female,group A,bachelor's degree,standard,51,49,51,none
male,group D,master's degree,standard,89,84,82,none
male,group C,some high school,free/reduced,53,37,40,completed
male,group E,some college,free/reduced,87,74,70,completed
female,group C,some college,standard,75,81,84,completed
male,group D,bachelor's degree,free/reduced,74,79,75,completed
male,group C,bachelor's degree,standard,58,55,48,none
male,group B,some high school,standard,51,54,41,completed
male,group E,high school,standard,70,55,56,none
female,group C,associate's degree,standard,59,66,67,none
male,group D,some college,standard,71,61,69,completed
female,group D,some high school,standard,76,72,71,none
female,group C,some college,free/reduced,59,62,64,none
female,group E,some college,free/reduced,42,55,54,completed
male,group A,high school,standard,57,43,47,none
male,group D,some college,standard,88,73,78,none
female,group C,some college,free/reduced,22,39,33,none
male,group B,some high school,standard,88,84,75,none
male,group C,associate's degree,free/reduced,73,68,66,none
female,group D,bachelor's degree,standard,68,75,81,completed
male,group E,associate's degree,free/reduced,100,100,93,completed
male,group A,some high school,standard,62,67,69,completed
male,group A,bachelor's degree,standard,77,67,68,none
female,group B,associate's degree,standard,59,70,66,completed
male,group D,bachelor's degree,standard,54,49,47,none
male,group D,some high school,standard,62,67,61,none
female,group C,some college,standard,70,89,88,completed
female,group E,high school,free/reduced,66,74,78,completed
male,group B,some college,free/reduced,60,60,60,none
female,group B,associate's degree,standard,61,86,87,completed
male,group D,associate's degree,free/reduced,66,62,64,none
male,group B,associate's degree,free/reduced,82,78,74,completed
female,group E,some college,free/reduced,75,88,85,completed
male,group B,master's degree,free/reduced,49,53,52,none
male,group C,high school,standard,52,53,49,none
female,group E,master's degree,standard,81,92,91,none
female,group C,bachelor's degree,standard,96,100,100,completed
male,group C,high school,free/reduced,53,51,51,completed
female,group B,master's degree,free/reduced,58,76,78,completed
female,group B,high school,standard,68,83,78,completed
female,group C,some college,free/reduced,67,75,70,completed
male,group A,high school,standard,72,73,74,completed
male,group E,some high school,standard,94,88,78,none
female,group D,some college,standard,79,86,81,none
female,group C,associate's degree,standard,63,67,70,none
female,group C,bachelor's degree,free/reduced,43,51,54,completed
female,group C,master's degree,standard,81,91,87,completed
female,group B,high school,free/reduced,46,54,58,completed
female,group C,associate's degree,standard,71,77,77,completed
female,group B,master's degree,free/reduced,52,70,62,completed
female,group D,some high school,standard,97,100,100,completed
male,group C,master's degree,free/reduced,62,68,75,completed
female,group C,some college,free/reduced,46,64,66,none
female,group E,high school,standard,50,50,47,none
female,group D,associate's degree,standard,65,69,70,none
male,group C,some high school,free/reduced,45,52,49,completed
male,group C,associate's degree,free/reduced,65,67,65,completed
male,group E,high school,standard,80,76,65,none
male,group D,some high school,standard,62,66,68,completed
male,group B,some high school,free/reduced,48,52,45,none
female,group C,bachelor's degree,standard,77,88,87,none
female,group E,associate's degree,standard,66,65,69,none
male,group D,some college,standard,76,83,79,completed
female,group B,some high school,standard,62,64,66,none
male,group D,some college,standard,77,62,62,completed
female,group C,master's degree,standard,69,84,85,completed
male,group D,associate's degree,standard,61,55,52,none
male,group C,some high school,free/reduced,59,69,65,completed
male,group E,high school,free/reduced,55,56,51,none
female,group B,some college,free/reduced,45,53,55,none
female,group B,bachelor's degree,free/reduced,78,79,76,none
female,group C,associate's degree,standard,67,84,86,completed
female,group D,some college,free/reduced,65,81,77,none
male,group C,associate's degree,standard,69,77,69,none
female,group B,associate's degree,standard,57,69,68,none
male,group C,some college,standard,59,41,42,none
male,group D,some high school,standard,74,71,78,completed
male,group E,bachelor's degree,standard,82,62,62,none
male,group E,high school,standard,81,80,76,completed
female,group B,some college,free/reduced,74,81,76,none
female,group B,some college,free/reduced,58,61,66,none
male,group D,some high school,free/reduced,80,79,79,completed
male,group C,some college,free/reduced,35,28,27,none
female,group C,high school,free/reduced,42,62,60,none
male,group C,associate's degree,free/reduced,60,51,56,completed
male,group E,high school,standard,87,91,81,completed
male,group B,some high school,standard,84,83,75,completed
female,group E,associate's degree,free/reduced,83,86,88,completed
female,group C,high school,free/reduced,34,42,39,none
male,group B,high school,free/reduced,66,77,70,none
male,group B,some high school,standard,61,56,56,completed
female,group D,high school,standard,56,68,74,completed
male,group B,associate's degree,standard,87,85,73,none
female,group C,some high school,free/reduced,55,65,62,none
male,group D,some high school,standard,86,80,75,none
female,group B,associate's degree,standard,52,66,73,completed
female,group E,master's degree,free/reduced,45,56,54,none
female,group C,some college,standard,72,72,71,none
male,group D,high school,standard,57,50,54,none
male,group A,some high school,free/reduced,68,72,64,none
female,group C,some college,standard,88,95,94,completed
male,group D,some college,standard,76,64,66,none
male,group C,associate's degree,standard,46,43,42,none
female,group B,bachelor's degree,standard,67,86,83,none
male,group E,some high school,standard,92,87,78,none
male,group C,bachelor's degree,standard,83,82,84,completed
male,group D,associate's degree,standard,80,75,77,none
male,group D,bachelor's degree,free/reduced,63,66,67,none
female,group D,some high school,standard,64,60,74,completed
male,group B,some college,standard,54,52,51,none
male,group C,associate's degree,standard,84,80,80,none
male,group D,high school,free/reduced,73,68,66,completed
female,group E,bachelor's degree,standard,80,83,83,none
female,group D,high school,standard,56,52,55,none
male,group E,some college,standard,59,51,43,none
male,group D,some high school,standard,75,74,69,none
male,group C,associate's degree,standard,85,76,71,none
male,group E,associate's degree,standard,89,76,74,none
female,group B,high school,standard,58,70,68,completed
female,group B,high school,standard,65,64,62,none
male,group C,high school,standard,68,60,53,none
male,group A,some high school,standard,47,49,49,completed
female,group D,some college,free/reduced,71,83,83,none
female,group B,some high school,standard,60,70,70,completed
male,group D,master's degree,standard,80,80,72,none
male,group D,high school,standard,54,52,52,none
female,group E,some college,standard,62,73,70,none
female,group C,associate's degree,free/reduced,64,73,68,none
male,group C,associate's degree,standard,78,77,77,completed
female,group B,some college,standard,70,75,78,none
female,group C,master's degree,free/reduced,65,81,81,completed
female,group C,some high school,free/reduced,64,79,77,completed
male,group C,some college,standard,79,79,78,completed
female,group C,some high school,free/reduced,44,50,51,none
female,group E,high school,standard,99,93,90,none
male,group D,high school,standard,76,73,68,none
male,group D,some high school,free/reduced,59,42,41,none
female,group C,bachelor's degree,standard,63,75,81,none
female,group D,high school,standard,69,72,77,none
female,group D,associate's degree,standard,88,92,95,completed
female,group E,some college,free/reduced,71,76,70,none
male,group C,bachelor's degree,standard,69,63,61,none
male,group C,some college,standard,58,49,42,none
female,group D,associate's degree,free/reduced,47,53,58,none
female,group D,some college,standard,65,70,71,none
male,group B,some college,standard,88,85,76,completed
male,group C,bachelor's degree,standard,83,78,73,none
female,group C,some high school,standard,85,92,93,completed
female,group E,high school,standard,59,63,75,completed
female,group C,some high school,free/reduced,65,86,80,none
male,group B,bachelor's degree,free/reduced,73,56,57,none
male,group D,high school,standard,53,52,42,none
male,group D,high school,standard,45,48,46,none
female,group D,bachelor's degree,free/reduced,73,79,84,none
female,group D,some college,free/reduced,70,78,78,completed
female,group B,some high school,standard,37,46,46,none
male,group B,associate's degree,standard,81,82,82,completed
male,group E,associate's degree,standard,97,82,88,completed
female,group B,some high school,standard,67,89,82,none
male,group B,bachelor's degree,free/reduced,88,75,76,none
male,group E,some high school,standard,77,76,77,completed
male,group C,associate's degree,standard,76,70,68,none
male,group D,some high school,standard,86,73,70,none
male,group C,some high school,standard,63,60,57,completed
female,group E,bachelor's degree,standard,65,73,75,none
male,group D,high school,free/reduced,78,77,80,completed
male,group B,associate's degree,free/reduced,67,62,60,none
male,group A,some high school,standard,46,41,43,completed
male,group E,associate's degree,standard,71,74,68,completed
male,group C,high school,free/reduced,40,46,50,completed
male,group D,associate's degree,free/reduced,90,87,75,none
male,group A,some college,free/reduced,81,78,81,completed
male,group D,some high school,free/reduced,56,54,52,none
female,group C,associate's degree,standard,67,84,81,completed
male,group B,associate's degree,standard,80,76,64,none
female,group C,associate's degree,standard,74,75,83,completed
male,group A,some college,standard,69,67,69,none
male,group E,some college,standard,99,87,81,completed
male,group C,some high school,standard,51,52,44,none
female,group B,associate's degree,free/reduced,53,71,67,none
female,group D,high school,free/reduced,49,57,52,none
female,group B,associate's degree,standard,73,76,80,none
male,group B,bachelor's degree,standard,66,60,57,none
male,group D,bachelor's degree,standard,67,61,68,completed
female,group C,associate's degree,free/reduced,68,67,69,completed
female,group C,bachelor's degree,standard,59,64,75,completed
male,group C,high school,standard,71,66,65,none
female,group D,master's degree,standard,77,82,91,completed
male,group C,associate's degree,standard,83,72,78,none
male,group B,bachelor's degree,standard,63,71,69,none
female,group D,associate's degree,free/reduced,56,65,63,none
female,group C,high school,free/reduced,67,79,84,completed
female,group E,high school,standard,75,86,79,none
female,group C,some college,standard,71,81,80,none
female,group C,some high school,free/reduced,43,53,53,none
female,group C,high school,free/reduced,41,46,43,none
female,group C,some college,standard,82,90,94,none
male,group C,some college,standard,61,61,62,none
male,group A,some college,free/reduced,28,23,19,none
male,group C,associate's degree,standard,82,75,77,completed
female,group B,some high school,standard,41,55,51,none
male,group C,high school,standard,71,60,61,none
male,group C,associate's degree,standard,47,37,35,none
male,group E,associate's degree,standard,62,56,53,completed
male,group B,associate's degree,standard,90,78,81,none
female,group C,bachelor's degree,standard,83,93,95,none
female,group B,some college,free/reduced,61,68,66,none
male,group D,some high school,standard,76,70,69,completed
male,group C,associate's degree,standard,49,51,43,none
female,group B,some high school,free/reduced,24,38,27,none
female,group D,some high school,free/reduced,35,55,60,completed
male,group C,high school,free/reduced,58,61,52,none
female,group C,high school,standard,61,73,63,none
female,group B,high school,standard,69,76,74,completed
male,group D,associate's degree,standard,67,72,67,completed
male,group D,some college,standard,79,73,67,none
female,group C,high school,standard,72,80,75,none
male,group B,some college,standard,62,61,57,none
female,group C,bachelor's degree,standard,77,94,95,completed
male,group D,high school,free/reduced,75,74,66,none
male,group E,associate's degree,standard,87,74,76,none
female,group B,bachelor's degree,standard,52,65,69,none
male,group E,some college,standard,66,57,52,none
female,group C,some college,standard,63,78,80,completed
female,group C,associate's degree,standard,46,58,57,none
female,group C,some college,standard,59,71,70,none
female,group B,bachelor's degree,standard,61,72,70,none
male,group A,associate's degree,standard,63,61,61,none
female,group C,some college,free/reduced,42,66,69,completed
male,group D,some college,free/reduced,59,62,61,none
female,group D,some college,standard,80,90,89,none
female,group B,high school,standard,58,62,59,none
male,group B,some high school,standard,85,84,78,completed
female,group C,some college,standard,52,58,58,none
female,group D,some high school,free/reduced,27,34,32,none
male,group C,some college,standard,59,60,58,none
male,group A,bachelor's degree,free/reduced,49,58,60,completed
male,group C,high school,standard,69,58,53,completed
male,group C,bachelor's degree,free/reduced,61,66,61,none
female,group A,some high school,free/reduced,44,64,58,none
female,group D,some high school,standard,73,84,85,none
male,group E,some college,standard,84,77,71,none
female,group C,some college,free/reduced,45,73,70,completed
male,group D,some high school,standard,74,74,72,none
female,group D,some college,standard,82,97,96,completed
female,group D,bachelor's degree,standard,59,70,73,none
male,group E,associate's degree,free/reduced,46,43,41,none
female,group D,some high school,standard,80,90,82,none
female,group D,master's degree,free/reduced,85,95,100,completed
female,group A,some high school,standard,71,83,77,none
male,group A,bachelor's degree,standard,66,64,62,none
female,group B,associate's degree,standard,80,86,83,none
male,group C,associate's degree,standard,87,100,95,completed
male,group C,master's degree,free/reduced,79,81,71,none
female,group E,some high school,free/reduced,38,49,45,none
female,group A,some high school,free/reduced,38,43,43,none
female,group E,some college,standard,67,76,75,none
female,group E,bachelor's degree,standard,64,73,70,none
female,group C,associate's degree,free/reduced,57,78,67,none
female,group D,high school,standard,62,64,64,none
male,group D,master's degree,standard,73,70,75,none
male,group E,some high school,free/reduced,73,67,59,completed
female,group D,some college,standard,77,68,77,none
male,group E,some college,standard,76,67,67,none
male,group C,associate's degree,standard,57,54,56,completed
female,group C,some high school,standard,65,74,77,completed
male,group A,high school,free/reduced,48,45,41,none
female,group B,high school,free/reduced,50,67,63,none
female,group C,associate's degree,standard,85,89,95,none
male,group B,some high school,standard,74,63,57,none
male,group D,some high school,standard,60,59,54,none
female,group C,some high school,standard,59,54,67,completed
male,group A,some college,standard,53,43,43,none
female,group A,some college,free/reduced,49,65,55,none
female,group D,high school,standard,88,99,100,completed
female,group C,high school,standard,54,59,62,none
female,group C,some high school,standard,63,73,68,none
male,group B,associate's degree,standard,65,65,63,completed
female,group B,associate's degree,standard,82,80,77,none
female,group D,high school,free/reduced,52,57,56,completed
male,group D,associate's degree,standard,87,84,85,completed
female,group D,master's degree,standard,70,71,74,completed
male,group E,some college,standard,84,83,78,completed
male,group D,associate's degree,standard,71,66,60,none
male,group B,some high school,standard,63,67,67,completed
female,group C,bachelor's degree,free/reduced,51,72,79,completed
male,group E,high school,standard,84,73,69,none
male,group C,bachelor's degree,standard,71,74,68,completed
male,group C,associate's degree,standard,74,73,67,none
male,group D,some college,standard,68,59,62,none
male,group E,high school,free/reduced,57,56,54,completed
female,group C,associate's degree,free/reduced,82,93,93,completed
female,group D,high school,standard,57,58,64,completed
female,group D,master's degree,free/reduced,47,58,67,completed
female,group A,some high school,standard,59,85,80,completed
male,group B,some college,free/reduced,41,39,34,none
female,group C,some college,free/reduced,62,67,62,none
male,group C,bachelor's degree,standard,86,83,86,none
male,group C,some high school,free/reduced,69,71,65,none
male,group A,some high school,free/reduced,65,59,53,none
male,group C,some high school,free/reduced,68,63,54,none
male,group C,associate's degree,free/reduced,64,66,59,none
female,group C,high school,standard,61,72,70,none
male,group C,high school,standard,61,56,55,none
female,group A,some high school,free/reduced,47,59,50,none
male,group C,some high school,standard,73,66,66,none
male,group C,some college,free/reduced,50,48,53,completed
male,group D,associate's degree,standard,75,68,64,none
male,group D,associate's degree,free/reduced,75,66,73,none
male,group C,high school,standard,70,56,51,none
male,group D,some high school,standard,89,88,82,completed
female,group C,some college,standard,67,81,79,completed
female,group D,high school,standard,78,81,80,none
female,group A,some high school,free/reduced,59,73,69,none
female,group B,associate's degree,standard,73,83,76,none
male,group A,some high school,free/reduced,79,82,73,none
female,group C,some high school,standard,67,74,77,completed
male,group D,some college,free/reduced,69,66,60,none
male,group C,high school,standard,86,81,80,completed
male,group B,high school,standard,47,46,42,none
male,group B,associate's degree,standard,81,73,72,none
female,group C,some college,free/reduced,64,85,85,completed
female,group E,some college,standard,100,92,97,none
female,group C,associate's degree,free/reduced,65,77,74,none
male,group C,some college,free/reduced,65,58,49,none
female,group C,associate's degree,free/reduced,53,61,62,none
male,group C,bachelor's degree,free/reduced,37,56,47,none
female,group D,bachelor's degree,standard,79,89,89,none
male,group D,associate's degree,free/reduced,53,54,48,none
female,group E,bachelor's degree,standard,100,100,100,none
male,group B,high school,standard,72,65,68,completed
male,group C,bachelor's degree,free/reduced,53,58,55,none
male,group B,some college,free/reduced,54,54,45,none
female,group E,some college,standard,71,70,76,none
female,group C,some college,free/reduced,77,90,91,none
male,group A,bachelor's degree,standard,75,58,62,completed
female,group C,some college,standard,84,87,91,none
female,group D,associate's degree,free/reduced,26,31,38,none
male,group A,high school,free/reduced,72,67,65,completed
female,group A,high school,free/reduced,77,88,85,completed
male,group C,some college,standard,91,74,76,none
female,group C,associate's degree,standard,83,85,90,completed
female,group C,high school,standard,63,69,74,none
female,group C,associate's degree,standard,68,86,84,completed
female,group D,some high school,standard,59,67,61,none
female,group B,associate's degree,standard,90,90,91,completed
female,group D,bachelor's degree,standard,71,76,83,completed
male,group E,bachelor's degree,standard,76,62,66,completed
male,group D,associate's degree,standard,80,68,72,none
female,group D,master's degree,standard,55,64,70,none
male,group E,associate's degree,standard,76,71,67,none
male,group B,high school,standard,73,71,68,completed
female,group D,associate's degree,free/reduced,52,59,56,none
male,group C,some college,free/reduced,68,68,61,none
male,group A,high school,standard,59,52,46,none
female,group B,associate's degree,standard,49,52,54,none
male,group C,high school,standard,70,74,71,none
male,group D,some college,free/reduced,61,47,56,none
female,group C,associate's degree,free/reduced,60,75,74,none
male,group B,some high school,standard,64,53,57,completed
male,group A,associate's degree,free/reduced,79,82,82,completed
female,group A,associate's degree,free/reduced,65,85,76,none
female,group C,associate's degree,standard,64,64,70,none
female,group C,some college,standard,83,83,90,none
female,group C,bachelor's degree,standard,81,88,90,none
female,group B,high school,standard,54,64,68,none
male,group D,high school,standard,68,64,66,completed
female,group C,some college,standard,54,48,52,none
female,group D,some college,free/reduced,59,78,76,completed
female,group B,some high school,standard,66,69,68,none
male,group E,some college,standard,76,71,72,none
female,group D,master's degree,standard,74,79,82,none
female,group B,associate's degree,standard,94,87,92,completed
male,group C,some college,free/reduced,63,61,54,none
female,group E,associate's degree,standard,95,89,92,completed
female,group D,master's degree,free/reduced,40,59,54,none
female,group B,some high school,standard,82,82,80,none
male,group A,high school,standard,68,70,66,none
male,group B,bachelor's degree,free/reduced,55,59,54,none
male,group C,master's degree,standard,79,78,77,none
female,group C,bachelor's degree,standard,86,92,87,none
male,group D,some college,standard,76,71,73,none
male,group A,some high school,standard,64,50,43,none
male,group D,some high school,free/reduced,62,49,52,none
female,group B,some high school,standard,54,61,62,completed
female,group B,master's degree,free/reduced,77,97,94,completed
female,group C,some high school,standard,76,87,85,completed
female,group D,some college,standard,74,89,84,none
female,group E,some college,standard,66,74,73,completed
female,group D,some high school,standard,66,78,78,completed
female,group B,high school,free/reduced,67,78,79,completed
male,group D,some college,standard,71,49,52,none
female,group C,associate's degree,standard,91,86,84,none
male,group D,bachelor's degree,standard,69,58,57,none
male,group C,master's degree,free/reduced,54,59,50,none
male,group C,high school,standard,53,52,49,completed
male,group E,some college,standard,68,60,59,none
male,group C,some high school,free/reduced,56,61,60,completed
female,group C,high school,free/reduced,36,53,43,none
female,group D,bachelor's degree,free/reduced,29,41,47,none
female,group C,associate's degree,standard,62,74,70,none
female,group C,associate's degree,standard,68,67,73,completed
female,group C,some high school,standard,47,54,53,none
male,group E,associate's degree,standard,62,61,58,completed
female,group E,associate's degree,standard,79,88,94,completed
male,group B,high school,standard,73,69,68,completed
female,group C,bachelor's degree,free/reduced,66,83,83,completed
male,group C,associate's degree,standard,51,60,58,completed
female,group D,high school,standard,51,66,62,none
male,group E,bachelor's degree,standard,85,66,71,completed
male,group A,associate's degree,standard,97,92,86,completed
male,group C,high school,standard,75,69,68,completed
male,group D,associate's degree,free/reduced,79,82,80,completed
female,group C,associate's degree,standard,81,77,79,none
female,group D,associate's degree,standard,82,95,89,none
female,group D,master's degree,standard,64,63,66,none
male,group E,some high school,free/reduced,78,83,80,completed
female,group A,some high school,standard,92,100,97,completed
male,group C,high school,standard,72,67,64,completed
female,group C,high school,free/reduced,62,67,64,none
male,group C,master's degree,standard,79,72,69,none
male,group C,some high school,free/reduced,79,76,65,none
male,group B,bachelor's degree,free/reduced,87,90,88,completed
female,group B,associate's degree,standard,40,48,50,none
male,group D,some college,free/reduced,77,62,64,none
male,group E,associate's degree,standard,53,45,40,none
female,group C,some college,free/reduced,32,39,33,none
female,group C,associate's degree,standard,55,72,79,completed
male,group C,master's degree,free/reduced,61,67,66,none
female,group B,associate's degree,free/reduced,53,70,70,none
male,group D,some high school,standard,73,66,62,none
female,group D,some college,standard,74,75,79,completed
female,group C,some college,standard,63,74,74,none
male,group C,bachelor's degree,standard,96,90,92,completed
female,group D,some college,free/reduced,63,80,80,completed
male,group B,bachelor's degree,free/reduced,48,51,46,none
male,group B,associate's degree,standard,48,43,45,none
female,group E,bachelor's degree,free/reduced,92,100,100,completed
female,group D,master's degree,free/reduced,61,71,78,completed
male,group B,high school,free/reduced,63,48,47,none
male,group D,bachelor's degree,free/reduced,68,68,67,none
male,group B,some college,standard,71,75,70,completed
male,group A,bachelor's degree,standard,91,96,92,none
female,group C,some college,standard,53,62,56,none
female,group C,high school,free/reduced,50,66,64,completed
female,group E,high school,standard,74,81,71,none
male,group A,associate's degree,free/reduced,40,55,53,completed
male,group A,some college,standard,61,51,52,completed
female,group B,high school,standard,81,91,89,none
female,group B,some college,free/reduced,48,56,58,completed
female,group D,master's degree,standard,53,61,68,none
female,group D,some high school,standard,81,97,96,none
female,group E,some high school,standard,77,79,80,none
female,group D,bachelor's degree,free/reduced,63,73,78,none
female,group D,associate's degree,standard,73,75,80,completed
female,group D,some college,standard,69,77,77,none
female,group C,associate's degree,standard,65,76,76,none
female,group A,high school,standard,55,73,73,none
female,group C,bachelor's degree,free/reduced,44,63,62,none
female,group C,some college,standard,54,64,65,none
female,group A,some high school,standard,48,66,65,none
male,group C,some college,free/reduced,58,57,54,none
male,group A,some high school,standard,71,62,50,none
male,group E,bachelor's degree,standard,68,68,64,none
female,group E,high school,standard,74,76,73,none
female,group C,bachelor's degree,standard,92,100,99,completed
female,group C,bachelor's degree,standard,56,79,72,completed
male,group B,high school,free/reduced,30,24,15,none
male,group A,some high school,standard,53,54,48,none
female,group D,high school,standard,69,77,73,none
female,group D,some high school,standard,65,82,81,none
female,group D,master's degree,standard,54,60,63,none
female,group C,high school,standard,29,29,30,none
female,group E,some college,standard,76,78,80,none
male,group D,high school,free/reduced,60,57,51,none
male,group D,master's degree,free/reduced,84,89,90,completed
male,group C,some high school,standard,75,72,62,none
female,group C,associate's degree,standard,85,84,82,none
female,group C,master's degree,free/reduced,40,58,54,none
female,group E,some college,standard,61,64,62,none
female,group B,associate's degree,standard,58,63,65,none
male,group D,some college,free/reduced,69,60,63,completed
female,group C,some college,standard,58,59,66,none
male,group C,bachelor's degree,standard,94,90,91,completed
female,group C,associate's degree,standard,65,77,74,none
female,group A,associate's degree,standard,82,93,93,none
female,group C,high school,standard,60,68,72,none
female,group E,bachelor's degree,standard,37,45,38,none
male,group D,bachelor's degree,standard,88,78,83,none
male,group D,master's degree,standard,95,81,84,none
male,group C,associate's degree,free/reduced,65,73,68,completed
female,group C,high school,free/reduced,35,61,54,none
male,group B,bachelor's degree,free/reduced,62,63,56,none
male,group C,high school,free/reduced,58,51,52,completed
male,group A,some college,standard,100,96,86,completed
female,group E,bachelor's degree,free/reduced,61,58,62,none
male,group D,some college,standard,100,97,99,completed
male,group B,associate's degree,free/reduced,69,70,63,completed
male,group D,associate's degree,standard,61,48,46,none
male,group D,some college,free/reduced,49,57,46,none
female,group C,some high school,standard,44,51,55,completed
male,group D,some college,standard,67,64,70,none
male,group B,high school,standard,79,60,65,none
